Year,Month,State,County,Rate
1999,December,Michigan,Washtenaw County,1.3
1999,July,Michigan,Washtenaw County,2.1
1999,November,Michigan,Washtenaw County,1.3
1998,February,Michigan,Washtenaw County,2
1998,October,Michigan,Washtenaw County,1.4
1998,March,Michigan,Washtenaw County,1.9
1998,August,Michigan,Washtenaw County,1.5
1998,May,Michigan,Washtenaw County,1.5
1998,January,Michigan,Washtenaw County,2.1
1998,June,Michigan,Washtenaw County,1.8
1998,September,Michigan,Washtenaw County,2
1998,April,Michigan,Washtenaw County,1.4
1998,December,Michigan,Washtenaw County,1.5
1998,July,Michigan,Washtenaw County,2.3
1998,November,Michigan,Washtenaw County,1.3
2002,February,Michigan,Washtenaw County,3.7
2002,October,Michigan,Washtenaw County,2.8
2002,March,Michigan,Washtenaw County,4
2002,August,Michigan,Washtenaw County,3.4
2002,May,Michigan,Washtenaw County,4
2002,January,Michigan,Washtenaw County,3.9
2002,June,Michigan,Washtenaw County,4.5
2002,September,Michigan,Washtenaw County,3.2
2002,April,Michigan,Washtenaw County,3.7
2002,December,Michigan,Washtenaw County,3.2
2002,July,Michigan,Washtenaw County,4.3
2002,November,Michigan,Washtenaw County,3
2003,February,Michigan,Washtenaw County,3.9
2003,October,Michigan,Washtenaw County,3.7
2003,March,Michigan,Washtenaw County,4
2003,August,Michigan,Washtenaw County,4.3
2003,May,Michigan,Washtenaw County,4.4
2003,January,Michigan,Washtenaw County,3.8
2003,June,Michigan,Washtenaw County,5.1
2003,September,Michigan,Washtenaw County,4.2
2003,April,Michigan,Washtenaw County,3.8
2003,December,Michigan,Washtenaw County,3.6
2003,July,Michigan,Washtenaw County,5
2003,November,Michigan,Washtenaw County,3.6
2000,February,Michigan,Washtenaw County,2.2
2000,October,Michigan,Washtenaw County,2.1
2000,March,Michigan,Washtenaw County,2.4
2000,August,Michigan,Washtenaw County,2.5
2000,May,Michigan,Washtenaw County,2.5
2000,January,Michigan,Washtenaw County,2.3
2000,June,Michigan,Washtenaw County,2.8
2000,September,Michigan,Washtenaw County,2.4
2000,April,Michigan,Washtenaw County,1.9
2000,December,Michigan,Washtenaw County,2.2
2000,July,Michigan,Washtenaw County,3.1
2000,November,Michigan,Washtenaw County,2.2
2001,February,Michigan,Washtenaw County,2.7
2001,October,Michigan,Washtenaw County,3.1
2001,March,Michigan,Washtenaw County,2.9
2001,August,Michigan,Washtenaw County,3
2001,May,Michigan,Washtenaw County,2.9
2001,January,Michigan,Washtenaw County,2.7
2001,June,Michigan,Washtenaw County,3.4
2001,September,Michigan,Washtenaw County,3.1
2001,April,Michigan,Washtenaw County,2.6
2001,December,Michigan,Washtenaw County,3.5
2001,July,Michigan,Washtenaw County,3.3
2001,November,Michigan,Washtenaw County,3.3
2006,February,Michigan,Washtenaw County,4.8
2006,October,Michigan,Washtenaw County,4.4
2006,March,Michigan,Washtenaw County,4.8
2006,August,Michigan,Washtenaw County,5
2006,May,Michigan,Washtenaw County,5
2006,January,Michigan,Washtenaw County,4.6
2006,June,Michigan,Washtenaw County,5.3
2006,September,Michigan,Washtenaw County,4.8
2006,April,Michigan,Washtenaw County,4.5
